country_name,active_cases,death,recovered
French Polynesia,"79,254        ",650,N/A
Eswatini,"75,191        ","1,427","73,116"
"27,742,298",retrieving data... ,,
"17,653,671",retrieving data... ,,
"20,180,839",retrieving data... ,,
Suriname,"82,588        ","1,408",N/A
"95,240,792",retrieving data... ,,
Malawi,"89,535        ","2,686",N/A
"314,169",retrieving data... ,,
Ivory Coast,"88,384        ",835,"87,497"
Senegal,"89,053        ","1,971","87,024"
"35,027,343",retrieving data... ,,
French Guiana,"98,041        ",420,"11,254"
"288,023",retrieving data... ,,
DRC,"99,338        ","1,468","84,489"
"444,033",retrieving data... ,,
"27,911,548",retrieving data... ,,
Channel Islands,"101,717        ",228,"101,321"
"13,600,464",retrieving data... ,,
Cameroon,"125,379        ","1,974","123,280"
Angola,"107,327        ","1,937","103,419"
"17,168,639",retrieving data... ,,
Malta,"121,420        ",885,"120,149"
"2,985,094",retrieving data... ,,
Rwanda,"133,518        ","1,468","132,039"
"32,395,450",retrieving data... ,,
Barbados,"110,578        ",648,"108,647"
"48,432,863",retrieving data... ,,
Jamaica,"156,869        ","3,756",N/A
Cambodia,"139,103        ","3,056","136,044"
"2,633,874",retrieving data... ,,
Ghana,"171,889        ","1,462","170,425"
"540,985",retrieving data... ,,
Uganda,"172,149        ","3,632","100,431"
"1,406,585",retrieving data... ,,
"6,550,389",retrieving data... ,,
"399,794",retrieving data... ,,
Namibia,"172,389        ","4,106","167,099"
Maldives,"186,694        ",316,"163,687"
"6,728,271",retrieving data... ,,
"345,393",retrieving data... ,,
Guadeloupe,"203,235        ","1,021",N/A
Trinidad and Tobago,"191,496        ","4,390","187,078"
El Salvador,"201,855        ","4,230","179,410"
"7,481,023",retrieving data... ,,
Kyrgyzstan,"206,897        ","2,991","196,406"
"374,087",retrieving data... ,,
Laos,"218,970        ",758,N/A
"33,089,461",retrieving data... ,,
Martinique,"230,354        ","1,102",N/A
"40,754,388",retrieving data... ,,
Iceland,"209,906        ",229,N/A
"34,382,084",retrieving data... ,,
"15,331,428",retrieving data... ,,
"216,746,934",retrieving data... ,,
Mozambique,"233,731        ","2,250","228,805"
"45,350,148",retrieving data... ,,
Uzbekistan,"253,662        ","1,637","241,486"
"627,950",retrieving data... ,,
Nigeria,"267,188        ","3,155","259,953"
Zimbabwe,"266,359        ","5,740","258,888"
Afghanistan,"234,174        ","7,996","211,080"
"2,441,162",retrieving data... ,,
"2,866,374",retrieving data... ,,
Algeria,"272,010        ","6,881","183,061"
"56,215,221",retrieving data... ,,
"445,431",retrieving data... ,,
Botswana,"330,638        ","2,801","327,049"
Montenegro,"296,542        ","2,846","291,794"
"19,470,234",retrieving data... ,,
"2,081,304",retrieving data... ,,
Albania,"334,863        ","3,605","330,233"
Brunei ,"343,719        ",225,"243,601"
"642,371",retrieving data... ,,
Kenya,"344,130        ","5,689","337,309"
"5,323,993",retrieving data... ,,
Zambia,"349,304        ","4,069","341,316"
"3,249,317",retrieving data... ,,
North Macedonia,"350,567        ","9,976","337,068"
"2,971,966",retrieving data... ,,
"10,221,247",retrieving data... ,,
Luxembourg,"391,232        ","1,232",N/A
Bosnia and Herzegovina,"403,615        ","16,388","379,084"
Armenia,"451,831        ","8,777","435,162"
"120,812,698",retrieving data... ,,
Oman,"399,449        ","4,628",N/A
Honduras,"474,590        ","11,165",N/A
Réunion,"494,595        ",921,N/A
"7,040,745",retrieving data... ,,
"2,979,915",retrieving data... ,,
"29,266,991",retrieving data... ,,
"106,156,692",retrieving data... ,,
Ethiopia,"501,157        ","7,574","488,171"
Libya,"507,274        ","6,437","500,835"
"5,345,541",retrieving data... ,,
"908,061",retrieving data... ,,
Qatar,"514,524        ",690,"513,687"
Egypt,"516,023        ","24,613","442,182"
"1,321,910",retrieving data... ,,
Venezuela,"552,695        ","5,856","546,537"
"4,013,171",retrieving data... ,,
Palestine,"621,008        ","5,404","615,445"
"55,227,143",retrieving data... ,,
"4,380,326",retrieving data... ,,
Estonia,"628,070        ","3,001",N/A
"21,575,842",retrieving data... ,,
"11,056,370",retrieving data... ,,
Moldova,"635,145        ","12,218",N/A
Myanmar,"641,873        ","19,495","620,159"
"1,223,387",retrieving data... ,,
Dominican Republic,"675,890        ","4,384","671,316"
"1,783,983",retrieving data... ,,
Kuwait,"667,158        ","2,570",N/A
Sri Lanka,"672,754        ","16,897","655,852"
"10,300,205",retrieving data... ,,
Cyprus,"681,110        ","1,365","546,203"
"35,844,909",retrieving data... ,,
"7,305,843",retrieving data... ,,
"1,848,837",retrieving data... ,,
Bahrain,"729,549        ","1,574","727,915"
Paraguay,"837,602        ","20,155",N/A
"9,432,800",retrieving data... ,,
"30,225,582",retrieving data... ,,
"3,378,078",retrieving data... ,,
Latvia,"982,505        ","6,715","971,406"
Saudi Arabia,"841,469        ","9,646",N/A
Azerbaijan,"835,234        ","10,400","824,089"
Nepal,"1,003,450        ","12,031","991,322"
"4,446,964",retrieving data... ,,
"10,081,785",retrieving data... ,,
Mongolia,"1,011,496        ","2,284","1,008,991"
"18,113,361",retrieving data... ,,
Uruguay,"1,041,111        ","7,664","1,030,944"
Panama,"1,059,893        ","8,727","1,051,102"
"11,305,652",retrieving data... ,,
UAE,"1,067,030        ","2,349",N/A
Ecuador,"1,070,188        ","36,043","942,651"
"11,992,656",retrieving data... ,,
"12,046,656",retrieving data... ,,
Belarus,"994,037        ","7,118","985,592"
Cuba,"1,115,251        ","8,530","1,106,660"
"3,496,016",retrieving data... ,,
"6,684,849",retrieving data... ,,
"5,182,354",retrieving data... ,,
Tunisia,"1,153,361        ","29,423",N/A
"37,772,756",retrieving data... ,,
Bolivia,"1,212,131        ","22,407","1,177,145"
"18,584,039",retrieving data... ,,
"4,059,286",retrieving data... ,,
Costa Rica,"1,238,883        ","9,428",N/A
Lebanon,"1,243,838        ","10,952","1,087,587"
Morocco,"1,278,992        ","16,303",N/A
Guatemala,"1,291,293        ","20,289","1,269,891"
"2,078,034",retrieving data... ,,
"2,661,708",retrieving data... ,,
"19,205,043",retrieving data... ,,
Bulgaria,"1,339,851        ","38,748","1,292,944"
Croatia,"1,309,728        ","18,687","1,258,432"
"5,511,370",retrieving data... ,,
Kazakhstan,"1,411,831        ","13,848","1,383,020"
"5,554,960",retrieving data... ,,
"6,844,597",retrieving data... ,,
Slovenia,"1,356,546        ","7,100","1,349,424"
"229,488,994",retrieving data... ,,
Lithuania,"1,397,806        ","9,897","1,387,478"
"5,020,199",retrieving data... ,,
"10,300,869",retrieving data... ,,
Norway,"1,509,732        ","6,638","1,429,233"
"5,460,193",retrieving data... ,,
Pakistan,"1,581,936        ","30,664","1,538,689"
Georgia,"1,861,665        ","17,132",N/A
"167,885,689",retrieving data... ,,
Ireland,"1,734,582        ","9,491","262,338"
Jordan,"1,746,997        ","14,122","1,731,007"
Slovakia,"1,877,605        ","21,224","1,844,976"
"9,606,259",retrieving data... ,,
Finland,"1,516,117        ","11,958","1,457,246"
"42,164,965",retrieving data... ,,
Bangladesh,"2,049,377        ","29,493",N/A
"8,653,016",retrieving data... ,,
Hungary,"2,230,232        ","49,048","2,152,155"
"4,898,203",retrieving data... ,,
"3,968,738",retrieving data... ,,
"10,218,971",retrieving data... ,,
Serbia,"2,615,054        ","18,057","2,523,264"
"7,604,299",retrieving data... ,,
Iraq,"2,465,545        ","25,375","2,439,497"
New Zealand,"2,621,111        ","5,697","2,613,791"
"5,943,546",retrieving data... ,,
"5,834,950",retrieving data... ,,
Sweden,"2,754,129        ","27,407","2,673,923"
"19,031,335",retrieving data... ,,
"60,756,135",retrieving data... ,,
Singapore,"3,006,155        ","2,024","2,707,350"
Hong Kong,"2,937,609        ","14,924","2,872,188"
"8,773,637",retrieving data... ,,
"112,508,994",retrieving data... ,,
South Africa,"4,076,463        ","102,595","3,912,506"
"33,684,208",retrieving data... ,,
"10,736,784",retrieving data... ,,
Romania,"3,529,735        ","68,929","3,252,104"
Denmark,"3,183,756        ","8,814","3,172,062"
"70,078,203",retrieving data... ,,
Philippines,"4,140,383        ","66,864","4,067,381"
"25,990,679",retrieving data... ,,
Czechia,"4,759,041        ","43,517","4,715,206"
"11,668,278",retrieving data... ,,
Thailand,"4,770,149        ","34,586","4,692,636"
Switzerland,"4,453,053        ","14,452","4,378,012"
Peru,"4,572,667        ","222,161","4,259,024"
"38,388,419",retrieving data... ,,
"33,181,072",retrieving data... ,,
"19,250,195",retrieving data... ,,
Belgium,"4,861,695        ","34,376","4,462,999"
Israel,"4,841,772        ","12,707","4,798,473"
"43,192,122",retrieving data... ,,
DPRK,"4,772,813        ",74,"4,772,739"
"9,326,000",retrieving data... ,,
Canada,"4,946,090        ","59,034","3,927,670"
"10,140,570",retrieving data... ,,
Malaysia,"5,278,406        ","37,348","5,233,268"
"9,066,710",retrieving data... ,,
"10,316,637",retrieving data... ,,
Chile,"5,384,853        ","64,497","5,252,450"
"51,512,762",retrieving data... ,,
Ukraine,"5,557,995        ","112,418","4,904,953"
Portugal,"5,643,062        ","28,126","4,237,853"
"37,739,785",retrieving data... ,,
Greece,"6,101,379        ","37,869",N/A
"279,134,505",retrieving data... ,,
Colombia,"6,400,173        ","143,200","6,212,152"
Poland,"6,661,991        ","120,598",N/A
Indonesia,"6,829,221        ","162,063","6,647,104"
"17,211,447",retrieving data... ,,
"131,562,772",retrieving data... ,,
Austria,"6,081,287        ","22,542","6,054,934"
Mexico,"7,702,809        ","334,958","6,899,865"
Iran,"7,627,186        ","146,811",N/A
"23,888,595",retrieving data... ,,
"86,022,837",retrieving data... ,,
"26,068,792",retrieving data... ,,
Argentina,"10,128,845        ","130,841","9,064,882"
"46,719,142",retrieving data... ,,
Netherlands,"8,635,786        ","22,992","8,445,834"
"46,010,234",retrieving data... ,,
Taiwan,"10,241,523        ","19,005","10,075,840"
"85,561,976",retrieving data... ,,
Australia,"11,853,144        ","24,414","11,820,014"
Vietnam,"11,625,195        ","43,206","10,640,971"
"334,805,269",retrieving data... ,,
"1,406,631,776",retrieving data... ,,
Turkey,"17,232,066        ","102,174",N/A
Spain,"13,914,811        ","121,760","13,762,417"
France,"40,138,560        ","167,642","15,867,601"
India,"45,035,393        ","533,570",N/A
